"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","20-Jun-2019","       2259.90","       2230.00","       2284.00","       2212.00","       2283.30","       2277.95","       2248.36","    2199377","          4944988185.45","     123696","     870081","         39.56"
"TCS","EQ","21-Jun-2019","       2277.95","       2285.00","       2292.50","       2242.00","       2252.05","       2249.85","       2255.87","    3871804","          8734275728.80","     141057","    2767225","         71.47"
"TCS","EQ","24-Jun-2019","       2249.85","       2254.15","       2280.00","       2250.80","       2277.00","       2275.50","       2267.80","    1382424","          3135065458.90","      78153","     528471","         38.23"
"TCS","EQ","25-Jun-2019","       2275.50","       2270.00","       2274.45","       2250.50","       2263.00","       2267.80","       2264.08","    1386077","          3138189676.80","      99699","     598681","         43.19"
"TCS","EQ","26-Jun-2019","       2267.80","       2265.00","       2266.80","       2250.00","       2253.05","       2254.20","       2259.22","    1762224","          3981246151.75","      94030","     931941","         52.88"
"TCS","EQ","27-Jun-2019","       2254.20","       2255.00","       2264.00","       2241.30","       2261.50","       2252.55","       2254.50","    2813464","          6342943270.40","     138850","    1814968","         64.51"
"TCS","EQ","28-Jun-2019","       2252.55","       2260.00","       2261.95","       2222.50","       2228.00","       2227.20","       2234.73","    2372928","          5302849982.90","     115508","    1468460","         61.88"
"TCS","EQ","01-Jul-2019","       2227.20","       2235.00","       2255.00","       2206.60","       2233.05","       2239.55","       2237.15","    2769940","          6196758934.65","     129268","    1579799","         57.03"
"TCS","EQ","02-Jul-2019","       2239.55","       2244.90","       2257.00","       2216.45","       2254.30","       2252.10","       2237.79","    1771746","          3964796610.80","      97184","     816451","         46.08"
"TCS","EQ","03-Jul-2019","       2252.10","       2252.20","       2258.80","       2232.00","       2234.00","       2237.65","       2242.16","    1656881","          3714996570.45","      87941","     739089","         44.61"
"TCS","EQ","04-Jul-2019","       2237.65","       2234.00","       2252.00","       2230.10","       2241.00","       2242.65","       2241.04","     984140","          2205501632.25","      59990","     352899","         35.86"
"TCS","EQ","05-Jul-2019","       2242.65","       2247.00","       2250.00","       2140.00","       2166.85","       2163.10","       2179.39","    4088470","          8910374711.95","     160276","    1736073","         42.46"
"TCS","EQ","08-Jul-2019","       2163.10","       2149.00","       2188.80","       2132.10","       2171.10","       2175.40","       2168.49","    2788062","          6045877428.40","     109097","    1186748","         42.57"
"TCS","EQ","09-Jul-2019","       2175.40","       2174.00","       2174.40","       2104.55","       2120.00","       2133.35","       2128.96","    3977224","          8467341968.35","     191613","    1817164","         45.69"
"TCS","EQ","10-Jul-2019","       2133.35","       2080.00","       2127.85","       2071.30","       2105.30","       2108.20","       2102.52","    6343581","         13337498420.65","     223857","    1665050","         26.25"
"TCS","EQ","11-Jul-2019","       2108.20","       2128.00","       2129.00","       2086.05","       2101.95","       2102.55","       2103.20","    2400346","          5048402094.65","     164280","     967380","         40.30"
"TCS","EQ","12-Jul-2019","       2102.55","       2102.10","       2119.75","       2093.10","       2108.00","       2107.60","       2108.31","    1560725","          3290489158.95","      94025","     759972","         48.69"
"TCS","EQ","15-Jul-2019","       2107.60","       2125.00","       2153.60","       2098.00","       2135.50","       2145.70","       2126.77","    2900415","          6168520111.70","     158215","    1436299","         49.52"
"TCS","EQ","16-Jul-2019","       2145.70","       2126.00","       2132.50","       2100.00","       2105.00","       2106.00","       2108.89","    2735399","          5768652609.95","     182859","    1518786","         55.52"
"TCS","EQ","17-Jul-2019","       2106.00","       2108.00","       2125.00","       2092.10","       2111.80","       2117.25","       2111.55","    1802969","          3807055296.55","     108297","     639367","         35.46"
"TCS","EQ","18-Jul-2019","       2117.25","       2116.20","       2116.20","       2060.00","       2075.55","       2065.95","       2084.29","    3072096","          6403142579.50","     167750","    1936907","         63.05"
"TCS","EQ","19-Jul-2019","       2065.95","       2077.00","       2097.00","       2062.50","       2079.90","       2076.95","       2080.79","    1953177","          4064152463.10","     108418","     856415","         43.85"
"TCS","EQ","22-Jul-2019","       2076.95","       2077.00","       2117.45","       2068.80","       2107.15","       2109.90","       2099.33","    1920167","          4031065399.20","     113048","     889344","         46.32"
"TCS","EQ","23-Jul-2019","       2109.90","       2127.90","       2130.00","       2102.40","       2119.95","       2112.45","       2120.71","    3538588","          7504314835.45","     117545","    2468145","         69.75"
"TCS","EQ","24-Jul-2019","       2112.45","       2110.00","       2120.80","       2076.50","       2097.55","       2096.80","       2097.50","    2413196","          5061674805.90","     112922","    1199779","         49.72"
"TCS","EQ","25-Jul-2019","       2096.80","       2108.90","       2135.00","       2092.55","       2128.25","       2127.90","       2118.42","    2544464","          5390236891.20","     119553","    1320598","         51.90"
